SiO2,B2O3,Na2O,Al2O3,CaO,ZrO2,Li2O,K2O,MgO,MnO,Fe2O3,P2O5,TiO2,ZnO,MoO3,Cs2O,NiO,SrO,Cr2O3,Y2O3,MnO2,Ag2O,CdO,SnO2,TeO2,BaO,La2O3,Ce2O3,Pr2O3,Nd2O3,N,V2O5,U3O8,PuO2,Cl,F,SO3,RuO2,Sm2O3,CeO2,Pr6O11,Rb2O,UO2,CoO,GdO,SnO,Sb2O3,Gd2O3,ZnO2,CuO,PdO,Md2O3,SO4,FeO,others,pH,Temp (Celsius),rate (gm/m2/day)
70,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.78,90,0.679444416
61.1,16.3,12.9,3.9,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.52,90,0.429505934
52.72,14.03,11.39,3.39,5.02,1.54,4.6,0,0,0,1.31,0.14,0,2.15,0.85,0.28,0.4,0.23,0.24,0.06,0.31,0.01,0.02,0.01,0.1,0.28,0.2,0.2,0.1,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51,30,0.01099244
52.72,14.03,11.39,3.39,5.02,1.54,4.6,0,0,0,1.31,0.14,0,2.15,0.85,0.28,0.4,0.23,0.24,0.06,0.31,0.01,0.02,0.01,0.1,0.28,0.2,0.2,0.1,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.12,50,0.09293829
52.72,14.03,11.39,3.39,5.02,1.54,4.6,0,0,0,1.31,0.14,0,2.15,0.85,0.28,0.4,0.23,0.24,0.06,0.31,0.01,0.02,0.01,0.1,0.28,0.2,0.2,0.1,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.07,70,0.470757917
52.72,14.03,11.39,3.39,5.02,1.54,4.6,0,0,0,1.31,0.14,0,2.15,0.85,0.28,0.4,0.23,0.24,0.06,0.31,0.01,0.02,0.01,0.1,0.28,0.2,0.2,0.1,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,90,1.701037627
70,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.96,90,5.289960096
61.1,16.3,12.9,3.9,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.97,90,1.900017778
50.27241015,0,0,8.717799505,26.06523638,0,0,0,0,0,0,0,11.61271401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.331839954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,90,0.066973807
50.27241015,0,0,8.717799505,26.06523638,0,0,0,0,0,0,0,11.61271401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.331839954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,90,0.026207142
